dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
sift1m,Baseline,1000000,10000,128,1000,20,113,1,0,0,8,8,1,504.5738831,0.085536003112793,0.154402474,0.779074542
sift1m,Baseline,1000000,10000,128,1000,30,113,1,0,0,8,8,1,610.5814819,0.0460749864578247,0.188023545,1.148036918
sift1m,Baseline,1000000,10000,128,1000,40,113,1,0,0,8,8,1,687.7363281,0.0271810293197632,0.225998878,1.554276334
sift1m,Baseline,1000000,10000,128,1000,50,113,1,0,0,8,8,1,678.9358521,0.0169500112533569,0.280328064,1.903247765
sift1m,Baseline,1000000,10000,128,1000,70,113,1,0,0,8,8,1,844.6409912,0.0073630213737488,0.305483017,2.580234777
sift1m,Baseline,1000000,10000,128,1000,100,113,1,0,0,8,8,1,886.7321167,0.0025269985198975,0.410718624,3.641974025
sift1m,Baseline,1000000,10000,128,1000,200,113,1,0,0,8,8,1,954.9752808,0.0002210140228271,0.746941387,7.133105425
sift1m,Baseline,1000000,10000,128,1000,300,113,1,0,0,8,8,1,1092.1123047,0.0001310110092163,0.976466566,10.664111001
sift1m,Baseline,1000000,10000,128,1000,400,113,1,0,0,8,8,1,1004.409729,0.0001170039176941,1.401116654,14.072951947
sift1m,Baseline,1000000,10000,128,1000,500,113,1,0,0,8,8,1,1150.3116455,0.0001170039176941,1.545083408,17.773275176
sift1m,Baseline,1000000,10000,128,1000,1000,113,1,0,0,8,8,1,1539.9296875,0.0001170039176941,2.672371317,41.152640599

sift1m,Group   ,1000000,10000,128,1000,1,113,1,1,10,8,4,4,15.0469446,0.7064430117607117,0.340583602,0.051247426
sift1m,Group   ,1000000,10000,128,1000,3,113,1,1,10,8,4,4,37.6940308,0.4574800133705139,0.347859525,0.131122273
sift1m,Group   ,1000000,10000,128,1000,5,113,1,1,10,8,4,4,67.2374344,0.3370270133018494,0.313896134,0.211055696
sift1m,Group   ,1000000,10000,128,1000,10,113,1,1,10,8,4,4,104.0393143,0.1914010047912598,0.388824317,0.404530165
sift1m,Group   ,1000000,10000,128,1000,20,113,1,1,10,8,4,4,172.7173004,0.0855339765548706,0.451069199,0.779074542
sift1m,Group   ,1000000,10000,128,1000,30,113,1,1,10,8,4,4,258.8247986,0.0460780262947083,0.443557567,1.148036918
sift1m,Group   ,1000000,10000,128,1000,40,113,1,1,10,8,4,4,307.1618347,0.027180016040802,0.506012216,1.554276334
sift1m,Group   ,1000000,10000,128,1000,50,113,1,1,10,8,4,4,348.2850342,0.0169510245323181,0.546462681,1.903247765
sift1m,Group   ,1000000,10000,128,1000,70,113,1,1,10,8,4,4,389.6255188,0.0073699951171875,0.662234549,2.580234777
sift1m,Group   ,1000000,10000,128,1000,100,113,1,1,10,8,4,4,379.2842102,0.0025240182876587,0.960222925,3.641974025
sift1m,Group   ,1000000,10000,128,1000,200,113,1,1,10,8,4,4,573.3178101,0.000216007232666,1.244180024,7.133105425
sift1m,Group   ,1000000,10000,128,1000,300,113,1,1,10,8,4,4,629.8555908,0.000124990940094,1.693104159,10.664111001
sift1m,Group   ,1000000,10000,128,1000,400,113,1,1,10,8,4,4,842.1425171,0.0001109838485718,1.671089148,14.072951947
sift1m,Group   ,1000000,10000,128,1000,500,113,1,1,10,8,4,4,1087.5827637,0.0001109838485718,1.63419976,17.773275176
sift1m,Group   ,1000000,10000,128,1000,1000,113,1,1,10,8,4,4,1347.7199707,0.0001109838485718,3.053500707,41.152640599

sift1m,Dim     ,1000000,10000,128,1000,3,113,0,0,8,8,1,1,49.4048996,0.4574790000915527,0.265403383,0.131122273
sift1m,Dim     ,1000000,10000,128,1000,5,113,0,0,8,8,1,1,77.1403198,0.3370270133018494,0.273599706,0.211055696
sift1m,Dim     ,1000000,10000,128,1000,10,113,0,0,8,8,1,1,152.1593933,0.1913989782333374,0.26585947,0.404530165
sift1m,Dim     ,1000000,10000,128,1000,20,113,0,0,8,8,1,1,207.8364868,0.0855330228805542,0.374849754,0.779074542
sift1m,Dim     ,1000000,10000,128,1000,30,113,0,0,8,8,1,1,247.5926971,0.0460759997367859,0.463679645,1.148036918
sift1m,Dim     ,1000000,10000,128,1000,40,113,0,0,8,8,1,1,265.7468872,0.027180016040802,0.584870963,1.554276334
sift1m,Dim     ,1000000,10000,128,1000,50,113,0,0,8,8,1,1,290.8110657,0.0169510245323181,0.654461932,1.903247765
sift1m,Dim     ,1000000,10000,128,1000,70,113,0,0,8,8,1,1,317.203949,0.0073670148849487,0.813430856,2.580234777
sift1m,Dim     ,1000000,10000,128,1000,100,113,0,0,8,8,1,1,328.5256958,0.0025240182876587,1.108581136,3.641974025
sift1m,Dim     ,1000000,10000,128,1000,200,113,0,0,8,8,1,1,391.5086365,0.0002189874649048,1.821953571,7.133105425
sift1m,Dim     ,1000000,10000,128,1000,300,113,0,0,8,8,1,1,407.7978821,0.0001270174980164,2.615048099,10.664111001
sift1m,Dim     ,1000000,10000,128,1000,400,113,0,0,8,8,1,1,417.1007385,0.0001130104064941,3.373993431,14.072951947
sift1m,Dim     ,1000000,10000,128,1000,500,113,0,0,8,8,1,1,425.0462952,0.0001130104064941,4.18149159,17.773275176
sift1m,Dim     ,1000000,10000,128,1000,1000,113,0,0,8,8,1,1,501.9048157,0.0001130104064941,8.199291828,41.152640599

dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
sift1m,Baseline,1000000,10000,128,1000,1,113,1,0,0,4,4,1,41.04886055,0.7063870131969452,0.12486353850000001,0.051247426
sift1m,Baseline,1000000,10000,128,1000,3,113,1,0,0,4,4,1,110.80748365,0.4574779868125916,0.1203776085,0.131122273
sift1m,Baseline,1000000,10000,128,1000,5,113,1,0,0,4,4,1,129.7747879,0.3370270133018494,0.16613060200000002,0.211055696
sift1m,Baseline,1000000,10000,128,1000,10,113,1,0,0,4,4,1,187.59381105,0.1914020180702209,0.2242642105,0.404530165
sift1m,Baseline,1000000,10000,128,1000,20,113,1,0,0,4,4,1,264.44512175,0.0855349898338318,0.296616799,0.779074542
sift1m,Baseline,1000000,10000,128,1000,30,113,1,0,0,4,4,1,305.2576141,0.0460739731788635,0.37630281649999997,1.148036918
sift1m,Baseline,1000000,10000,128,1000,40,113,1,0,0,4,4,1,382.14471434999996,0.0271729826927185,0.4071034255,1.554276334
sift1m,Baseline,1000000,10000,128,1000,50,113,1,0,0,4,4,1,340.4511261,0.0169410109519958,0.56776259,1.903247765
sift1m,Baseline,1000000,10000,128,1000,70,113,1,0,0,4,4,1,388.32118225,0.0073680281639099,0.6644966194999999,2.580234777
sift1m,Baseline,1000000,10000,128,1000,100,113,1,0,0,4,4,1,385.9580841,0.0025179982185364,0.952509749,3.641974025
sift1m,Baseline,1000000,10000,128,1000,200,113,1,0,0,4,4,1,390.87908934999996,0.0002130270004272,1.8515308215000001,7.133105425
sift1m,Baseline,1000000,10000,128,1000,300,113,1,0,0,4,4,1,420.15774535,0.0001230239868164,2.5601418865000003,10.664111001
sift1m,Baseline,1000000,10000,128,1000,400,113,1,0,0,4,4,1,469.3146057,0.0001090168952942,2.9990493275,14.072951947
sift1m,Baseline,1000000,10000,128,1000,500,113,1,0,0,4,4,1,414.17211914999996,0.0001090168952942,4.3152992155,17.773275176
sift1m,Baseline,1000000,10000,128,1000,1000,113,1,0,0,4,4,1,582.4442749,0.0001090168952942,7.072914588,41.152640599

sift1m,Group   ,1000000,10000,128,1000,1,113,1,1,4,4,2,2,13.93898825,0.7064760029315948,0.3685005375,0.051247426
sift1m,Group   ,1000000,10000,128,1000,3,113,1,1,4,4,2,2,36.365291600000006,0.4574840068817139,0.36060698,0.131122273
sift1m,Group   ,1000000,10000,128,1000,5,113,1,1,4,4,2,2,55.26132775,0.3370270133018494,0.3819397205,0.211055696
sift1m,Group   ,1000000,10000,128,1000,10,113,1,1,4,4,2,2,91.6480141,0.1914010047912598,0.44147091400000005,0.404530165
sift1m,Group   ,1000000,10000,128,1000,20,113,1,1,4,4,2,2,128.81971745,0.0855339765548706,0.6049145014999999,0.779074542
sift1m,Group   ,1000000,10000,128,1000,30,113,1,1,4,4,2,2,171.84928895000002,0.0460770130157471,0.6685530075,1.148036918
sift1m,Group   ,1000000,10000,128,1000,40,113,1,1,4,4,2,2,200.71579739999999,0.0271810293197632,0.7743794255,1.554276334
sift1m,Group   ,1000000,10000,128,1000,50,113,1,1,4,4,2,2,202.2313309,0.0169540047645569,0.94149735,1.903247765
sift1m,Group   ,1000000,10000,128,1000,70,113,1,1,4,4,2,2,235.20610805,0.0073590278625488,1.0970223465,2.580234777
sift1m,Group   ,1000000,10000,128,1000,100,113,1,1,4,4,2,2,298.3007965,0.0025179982185364,1.227003158,3.641974025
sift1m,Group   ,1000000,10000,128,1000,200,113,1,1,4,4,2,2,314.74957274999997,0.0002149939537048,2.2663045865,7.133105425
sift1m,Group   ,1000000,10000,128,1000,300,113,1,1,4,4,2,2,337.1855316,0.0001230239868164,3.1629723825,10.664111001
sift1m,Group   ,1000000,10000,128,1000,400,113,1,1,4,4,2,2,375.7236481,0.0001090168952942,3.7803754355,14.072951947
sift1m,Group   ,1000000,10000,128,1000,500,113,1,1,4,4,2,2,413.8709106,0.0001090168952942,4.363219852,17.773275176
sift1m,Group   ,1000000,10000,128,1000,1000,113,1,1,4,4,2,2,504.5087738,0.0001090168952942,8.161992014,41.152640599

sift1m,Dim     ,1000000,10000,128,1000,3,113,0,0,8,4,1,1,15.4987984,0.4574790000915527,0.8464366285,0.131122273
sift1m,Dim     ,1000000,10000,128,1000,5,113,0,0,8,4,1,1,22.066513049999998,0.3370270133018494,0.9564579385,0.211055696
sift1m,Dim     ,1000000,10000,128,1000,10,113,0,0,8,4,1,1,38.81501195,0.1913989782333374,1.0424799514999998,0.404530165
sift1m,Dim     ,1000000,10000,128,1000,20,113,0,0,8,4,1,1,63.920408249999994,0.0855330228805542,1.2190745785,0.779074542
sift1m,Dim     ,1000000,10000,128,1000,30,113,0,0,8,4,1,1,81.79734805000001,0.0460759997367859,1.4042497855,1.148036918
sift1m,Dim     ,1000000,10000,128,1000,40,113,0,0,8,4,1,1,100.49385835000001,0.027180016040802,1.5493336945,1.554276334
sift1m,Dim     ,1000000,10000,128,1000,50,113,0,0,8,4,1,1,106.2226791,0.0169510245323181,1.79316513,1.903247765
sift1m,Dim     ,1000000,10000,128,1000,70,113,0,0,8,4,1,1,128.34857175000002,0.0073670148849487,2.0163807055,2.580234777
sift1m,Dim     ,1000000,10000,128,1000,100,113,0,0,8,4,1,1,147.4272919,0.0025240182876587,2.4703609895,3.641974025
sift1m,Dim     ,1000000,10000,128,1000,200,113,0,0,8,4,1,1,158.44900515,0.0002189874649048,4.50207745,7.133105425
sift1m,Dim     ,1000000,10000,128,1000,300,113,0,0,8,4,1,1,223.34803775,0.0001270174980164,4.7746937015,10.664111001
sift1m,Dim     ,1000000,10000,128,1000,400,113,0,0,8,4,1,1,193.0139389,0.0001130104064941,7.3214994099999995,14.072951947
sift1m,Dim     ,1000000,10000,128,1000,500,113,0,0,8,4,1,1,177.92923739999998,0.0001130104064941,9.989032285499999,17.773275176
sift1m,Dim     ,1000000,10000,128,1000,1000,113,0,0,8,4,1,1,227.33325960000002,0.0001130104064941,18.111110912,41.152640599

dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
nuswide,Baseline,268643,200,500,518,1,12,1,0,0,2,2,1,10.574309033333334,0.8026500046253204,0.011156456,0.001165544
nuswide,Baseline,268643,200,500,518,3,12,1,0,0,2,2,1,4.938115266666666,0.2704499959945679,0.011745639,0.000578421
nuswide,Baseline,268643,200,500,518,5,12,1,0,0,2,2,1,5.257188966666667,0.09579998254776,0.012501542,0.000653253
nuswide,Baseline,268643,200,500,518,10,12,1,0,0,2,2,1,6.078583399999999,0.0187000036239624,0.014353741000000001,0.000867368
nuswide,Baseline,268643,200,500,518,20,12,1,0,0,2,2,1,7.1802803666666675,0.0100499987602234,0.019480049666666666,0.0013877080000000003
nuswide,Baseline,268643,200,500,518,30,12,1,0,0,2,2,1,8.880823433333333,0.0092499852180481,0.022345225333333333,0.00197729
nuswide,Baseline,268643,200,500,518,40,12,1,0,0,2,2,1,8.805536733333334,0.0084999799728394,0.033990036,0.0026982960000000006
nuswide,Baseline,268643,200,500,518,50,12,1,0,0,2,2,1,11.856991133333333,0.0069500207901001,0.028984593333333336,0.0034127929999999995
nuswide,Baseline,268643,200,500,518,70,12,1,0,0,2,2,1,17.402222933333334,0.0065500140190125,0.035822301333333334,0.006232692000000001
nuswide,Baseline,268643,200,500,518,100,12,1,0,0,2,2,1,24.768219633333334,0.006299972534179699,0.04671662466666667,0.011568781
nuswide,Baseline,268643,200,500,518,200,12,1,0,0,2,2,1,79.85159556666666,0.0061500072479248,0.08032162233333334,0.063890219
nuswide,Baseline,268643,200,500,518,300,12,1,0,0,2,2,1,141.0423635,0.0060999989509583,0.12630478533333334,0.177833091
nuswide,Baseline,268643,200,500,518,400,12,1,0,0,2,2,1,152.1727244,0.0059499740600586,0.2330661076666667,0.354658836
nuswide,Baseline,268643,200,500,518,500,12,1,0,0,2,2,1,211.0388641333333,0.0058000087738037,0.3151421443333334,0.665054491
nuswide,Baseline,268643,200,500,518,516,12,1,0,0,2,2,1,190.55453996666665,0.00204998254776,0.3456253853333333,0.657550591
nuswide,Baseline,268643,200,500,518,518,12,1,0,0,2,2,1,308.459493,5.00082969666e-05,0.3539576983333334,1.091452495

nuswide,Group   ,268643,200,500,518,1,12,1,1,1,2,2,2,6.373225266666666,0.8026500046253204,0.026600571,0.001165544
nuswide,Group   ,268643,200,500,518,3,12,1,1,1,2,2,2,3.227719533333333,0.2704499959945679,0.027976484,0.000578421
nuswide,Group   ,268643,200,500,518,5,12,1,1,1,2,2,2,4.3444997333333335,0.09579998254776,0.015837321333333335,0.000653253
nuswide,Group   ,268643,200,500,518,10,12,1,1,1,2,2,2,4.300188833333333,0.0187000036239624,0.02218355333333333,0.000867368
nuswide,Group   ,268643,200,500,518,20,12,1,1,1,2,2,2,4.303616366666667,0.0101000070571899,0.03225211966666667,0.0013877080000000003
nuswide,Group   ,268643,200,500,518,30,12,1,1,1,2,2,2,5.321667033333334,0.0092499852180481,0.03717093933333334,0.00197729
nuswide,Group   ,268643,200,500,518,40,12,1,1,1,2,2,2,7.478559033333333,0.0084999799728394,0.03957292933333333,0.0026982960000000006
nuswide,Group   ,268643,200,500,518,50,12,1,1,1,2,2,2,8.9466912,0.0069500207901001,0.03826159866666667,0.0034127929999999995
nuswide,Group   ,268643,200,500,518,70,12,1,1,1,2,2,2,9.1560553,0.0065500140190125,0.07363807700000001,0.006232692000000001
nuswide,Group   ,268643,200,500,518,100,12,1,1,1,2,2,2,17.1294257,0.006299972534179699,0.06791827133333334,0.011568781
nuswide,Group   ,268643,200,500,518,200,12,1,1,1,2,2,2,61.55118053333333,0.0061500072479248,0.10457749766666667,0.063890219
nuswide,Group   ,268643,200,500,518,300,12,1,1,1,2,2,2,92.8071213,0.0060999989509583,0.192404314,0.177833091
nuswide,Group   ,268643,200,500,518,400,12,1,1,1,2,2,2,120.32696786666668,0.0059499740600586,0.295494504,0.354658836
nuswide,Group   ,268643,200,500,518,500,12,1,1,1,2,2,2,165.75238546666665,0.0058000087738037,0.4014333536666667,0.665054491
nuswide,Group   ,268643,200,500,518,516,12,1,1,1,2,2,2,157.9978536,0.00204998254776,0.416889584,0.657550591
nuswide,Group   ,268643,200,500,518,518,12,1,1,1,2,2,2,260.6460978,5.00082969666e-05,0.41875595933333337,1.091452495

nuswide,Dim     ,268643,200,500,518,1,12,0,0,2,2,1,1,0.6330497333333334,0.8026500046253204,0.18413684866666666,0.001165544
nuswide,Dim     ,268643,200,500,518,10,12,0,0,2,2,1,1,0.4539309,0.0187000036239624,0.19108067666666664,0.000867368
nuswide,Dim     ,268643,200,500,518,20,12,0,0,2,2,1,1,0.7526479333333334,0.0100499987602234,0.18447042733333333,0.0013877080000000003
nuswide,Dim     ,268643,200,500,518,30,12,0,0,2,2,1,1,0.9741993999999999,0.0091999769210815,0.203839652,0.00197729
