dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,1.0000000000000000,334.4917908,0.4865900278091431,2.063077412,6.900824627,1000.5128794663375

glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.0000000000000000,229.0679016,0.2388200163841248,3.012567181,6.900824627,31.824553379461555
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.1000000014901161,237.4187317,0.2465100288391113,2.906605018,6.900824627,103.97331652616718
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.2000000029802322,240.6221924,0.267769992351532,2.867908694,6.900824627,203.7376257506702
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.3000000119209290,244.1230011,0.2755100131034851,2.826781808,6.900824627,301.975858991939
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.4000000059604645,230.629776,0.3002499938011169,2.992165593,6.900824627,400.4455599955461
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.5000000000000000,259.0241699,0.3184800148010254,2.664162398,6.900824627,502.8058615730672
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.6000000238418579,235.9458618,0.3551300168037415,2.924749251,6.900824627,601.5426673030605
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.6999999880790710,236.0078888,0.3809000253677368,2.923980457,6.900824627,700.3008942524938
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.8000000119209290,238.5997925,0.4153199791908264,2.892217391,6.900824627,799.1691232435019
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,0.8999999761581421,240.3889771,0.4505599737167358,2.870690877,6.900824627,901.6852496172316
glove1.2mHard,Dim     ,1193514,1000,200,1092,1092,232,0,0,0,8,4,1,1,1.0000000000000000,240.6161499,0.4868500232696533,2.86798059,6.900824627,1000.4885162070932

dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.0000000000000000,372.2536926,0.2172899842262268,5.381311164,20.032129177,41.156246146775715
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.1000000014901161,335.8350525,0.2362899780273438,5.964871372,20.032129177,106.16144560090035
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.2000000029802322,316.752655,0.2317699790000916,6.324218152,20.032129177,203.65191868429508
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.3000000119209290,278.5085754,0.222760021686554,7.192643446,20.032129177,302.78440684591806
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.4000000059604645,262.7940369,0.2234500050544739,7.622749196,20.032129177,402.3011677519862
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.5000000000000000,247.7696686,0.2203900218009949,8.084980535,20.032129177,501.9983038781669
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.6000000238418579,239.9523163,0.2282500267028809,8.348379254,20.032129177,601.7462804957579
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.6999999880790710,217.8677521,0.2268199920654297,9.194627745,20.032129177,701.5657688496547
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.8000000119209290,213.9966431,0.2238600254058838,9.360955188,20.032129177,801.404048964161
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,0.8999999761581421,203.8406067,0.2321199774742126,9.82734977,20.032129177,901.267005981148
glove2.2mHard,Baseline,2196017,1000,300,1481,1481,232,1,1,0,0,4,4,1,1.0000000000000000,187.881134,0.2339400053024292,10.662129354,20.032129177,1001.1433713341157

glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.0000000000000000,330.8666992,0.2172899842262268,6.05444084,20.032129177,41.1574601909793
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.1000000014901161,317.9739685,0.2362899780273438,6.299927693,20.032129177,106.16144560090035
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.2000000029802322,320.7040405,0.2317699790000916,6.246297537,20.032129177,203.65191868429508
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.3000000119209290,309.4788513,0.222760021686554,6.472858661,20.032129177,302.78440684591806
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.4000000059604645,295.9126587,0.2234500050544739,6.769608734,20.032129177,402.3011677519862
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.5000000000000000,303.796051,0.2203900218009949,6.593939854,20.032129177,501.9983038781669
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.6000000238418579,307.3384705,0.2282500267028809,6.517937391,20.032129177,601.7462804957579
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.6999999880790710,289.4754028,0.2268199920654297,6.920149055,20.032129177,701.5657688496547
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.8000000119209290,289.0772095,0.2238600254058838,6.929681089,20.032129177,801.404048964161
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,0.8999999761581421,293.8141785,0.2321199774742126,6.817958299,20.032129177,901.267005981148
glove2.2mHard,Group   ,2196017,1000,300,1481,1481,232,1,1,1,2,4,2,2,1.0000000000000000,294.4398193,0.2339400053024292,6.803471299,20.032129177,1001.1433713341157

glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.0000000000000000,205.0316925,0.2172899842262268,9.77025956,20.032129177,41.15672192512272
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.1000000014901161,179.9677124,0.2362899780273438,11.130957225,20.032129177,106.16144560090035
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.2000000029802322,207.9343109,0.2317699790000916,9.633873548,20.032129177,203.65191868429508
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.3000000119209290,202.330246,0.222760021686554,9.900709051,20.032129177,302.78440684591806
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.4000000059604645,206.0746765,0.2234500050544739,9.720810548,20.032129177,402.3011677519862
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.5000000000000000,109.7155685,0.2203900218009949,18.258237049,20.032129177,501.9983038781669
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.6000000238418579,187.2372894,0.2282500267028809,10.698792835,20.032129177,601.7462804957579
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.6999999880790710,185.883667,0.2268199920654297,10.776701755,20.032129177,701.5657688496547
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.8000000119209290,185.2583923,0.2238600254058838,10.813075102,20.032129177,801.404048964161
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,0.8999999761581421,204.0722961,0.2321199774742126,9.816192019,20.032129177,901.267005981148
glove2.2mHard,Dim     ,2196017,1000,300,1481,1481,232,0,0,0,8,4,1,1,1.0000000000000000,185.1002655,0.2339400053024292,10.82231268,20.032129177,1001.1433713341157

dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.0000000000000000,410.67453,0.1680099964141846,2.095998329,8.607731194,31.08343610349409
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.1000000014901161,412.3392944,0.1687800288200378,2.087535973,8.607731194,104.83046312976013
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.2000000029802322,420.2276306,0.1698200106620789,2.048349641,8.607731194,202.46141854684313
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.3000000119209290,329.977356,0.1736900210380554,2.608582277,8.607731194,301.6686659233935
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.4000000059604645,409.6512451,0.178820013999939,2.10123402,8.607731194,401.25903852748286
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.5000000000000000,423.8893433,0.1837000250816345,2.030655279,8.607731194,500.98857871212994
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.6000000238418579,405.5878601,0.1978600025177002,2.122285204,8.607731194,600.8279404288719
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.6999999880790710,414.2475586,0.2116299867630005,2.077919646,8.607731194,700.6970543680058
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.8000000119209290,396.8963623,0.2182599902153015,2.16876037,8.607731194,800.6076629660748
deep1MHard,Group   ,1000000,1000,256,1000,1000,232,1,1,1,4,4,2,2,0.8999999761581421,393.7312622,0.2294899821281433,2.186194553,8.607731194,900.5464330060944
